Comment,Description,Designator,Footprint,LibRef,Quantity
10uF,Capacitor Ceramic,"C1, C3, C4, C6",CAPC0805(2012)130_N,CAP,4
0.1uF,Capacitor Ceramic,"C2, C5, C7, C9, C10",CAPC0603(1608)100_N,CAP,5
1uF,Capacitor Ceramic,C8,CAPC0603(1608)100_N,CAP,1
RED LED,LED OPTO,D1,LED_0603,LED,1
2.2uH NR3015T2R2M,Power Inductor SMD,L1,IND_3x3_SMD,IND_PWR,1
Header 3,"Header, 3-Pin","P1, P2",HDR1X3,Header 3,2
FDN342P,P CHANNEL FET,Q1,SOT-23,TRANSISTOR PCH FET,1
1k,Resistor SMD,"R1, R2, R3",RESC0603(1608)_N,RES,3
27k,Resistor SMD,R4,RESC0603(1608)_N,RES,1
3.3k,Resistor SMD,R5,RESC0603(1608)_N,RES,1
TPS61202,Buck-Boost Regulator,U1,DRC10_TI,TPS61202,1
BQ25050DQCR,IC BATT CHG LI-ION 1CELL 10WSON,U2,TI_WSON10,bq25050,1
